product_id;product_name;product_category;brand;package_quantity;package_unit;price;currency
P001;lapte zuzu;lactate;Zuzu;1;l;9.80;RON
P002;iaurt grecesc;lactate;Lidl;0.4;kg;11.60;RON
P005;ouă mărimea M;ouă;Lidl;10;buc;13.10;RON
P008;brânză telemea;lactate;Pilos;0.3;kg;12.90;RON
P011;pâine albă;panificație;Lidl;500;g;3.40;RON
P014;roșii cherry;legume și fructe;Lidl;250;g;6.90;RON
P017;piept pui;carne;Lidl;1;kg;28.90;RON
P020;spaghetti nr.5;paste făinoase;Barilla;500;g;5.70;RON
P021;zahăr tos;alimente de bază;Lidl;1;kg;4.30;RON
P024;apă plată;băuturi;Aqua Carpatica;2;l;5.10;RON
P026;banane;legume și fructe;Lidl;1;kg;6.00;RON
P028;ulei floarea-soarelui;alimente de bază;Bunica;1;l;9.30;RON
P031;biscuiți cu unt;gustări;Deluxe;0.2;kg;7.00;RON
P034;cafea măcinată;cafea;Davidoff;0.25;kg;22.60;RON
P037;detergent lichid;produse de menaj;Persil;2.5;l;49.50;RON
P040;șampon păr gras;îngrijire personală;Head & Shoulders;400;ml;17.90;RON
P043;hârtie igienică 3 straturi;produse de menaj;Zewa;10;role;18.80;RON
P046;piper negru măcinat;condimente;Kotanyi;50;g;6.05;RON
P049;vin alb demisec;băuturi;Jidvei;0.75;l;23.30;RON
P052;ciocolată neagră 70%;gustări;Fin Carre;100;g;3.80;RON
P055;cartofi albi;legume și fructe;Lidl;1;kg;3.00;RON
P057;ceapă galbenă;legume și fructe;Lidl;1;kg;2.80;RON
P064;mălai extra;alimente de bază;Pambac;1;kg;5.50;RON
P065;file somon;pește;Lidl;0.2;kg;25.00;RON
P066;cremă de brânză;lactate;Almette;0.15;kg;8.50;RON
